Type;Name;Id;ImageName;Property;Effect;Notes
ItemRebirth;BFFS!;247;collectibles_247;heart, pink, arrow;Increases the size and doubles damage of familiars.;*Familiars that do not deal damage (like the pickup generation variants) only obtain a cosmetic increase in size but do not gain any benefit. *Familiars summoned by a Trinket or by Monster Manual are also affected by this item. *Has no effect on Rotten Baby, which instead benefits from Hive Mind.
ItemRebirth;The Bible;33;collectibles_033;book, brown, cross;*Grants Isaac flight for the current room. *Instantly kills Mom, Mom's Heart and It Lives upon use.;*Using The Bible to kill Mom, Mom's Heart or It Lives unlocks The Halo item. *Using The Bible on Satan will kill Isaac. *Using The Bible on Isaac, ???, The Lamb, Hush or Mega Satan has no special effect and does not kill Isaac
ItemRebirth;Big Fan;279;collectibles_279;fly, brown;*Spawns a large orbital familiar that blocks enemy projectiles and deals small amounts of damage on contact. *This item belongs to the Lord of the Flies set. Collecting three items from the set will transform Isaac into Lord of the Flies.;*The Big Fan is the largest of the orbital familiars, but also deals the least damage. *The Big Fan has lower rotational speed than other familiars (similar to Blue Flies). *The Big Fan orbits independently rather than occupying one of the three defense orbital slots
ItemRebirth;The Black Bean;180;collectibles_180;bean, black;*When taking damage, Isaac farts, dealing poison damage to all enemies in range. *The initial fart deals 5 damage and the poison deals 21 damage over time.;
ItemRebirth;Black Candle;260;collectibles_260;candle, black;*Grants immunity to floor curses. *Will immediately remove any curses on the current floor. *Gives Isaac a black heart. *Increases chance for a Devil / Angel Room Door to open when a floor Boss is killed.;
ItemRebirth;Black Lotus;226;collectibles_226;flower, black;Gives Isaac a regular Heart Container, a Soul Heart, and a Black Heart.;
ItemRebirth;Blank Card;286;collectibles_286;card, white;*Mimics the effect of Isaac's held card or rune. *Does not consume Isaac's current held item. *Will not mimic Pills.;
ItemRebirth;Blood Bag;119;collectibles_119;blood, red;*Gives the player a full heart container and restores 5 hearts. *+0.3 Speed Up (not applied until the next time Isaac's speed stat is updated).;This item can be found and picked up multiple times in a single run.
ItemRebirth;Blood Clot;254;collectibles_254;blood, red;The following stats are applied to tears from Isaac's left eye only.  *+1 Damage. *+5 Range.;
ItemRebirth;Blood of the Martyr;7;collectibles_007;jesus, crown, thorns;*Increases Damage by 1, and turns Isaac's tears into blood tears. *Will cause The Book Of Belial to increase damage by a further +50% in addition to the +2 damage bonus (does not work if the player already has Cricket's Head or Magic Mushroom as the 1.5x damage multiplier does not stack).;
ItemRebirth;Blood Rights;186;collectibles_186;knife, brown, blood;Isaac takes one full red heart of damage and deals 40 damage to all enemies in the room.;
ItemRebirth;Bloody Lust;157;collectibles_157;blood, red;*Damage increases as Isaac receives damage. The damage increase stays for the whole floor, but resets upon entering a new floor. *The first three times Isaac is hit, his damage is increased by 0.5 each time. *The next three times Isaac is hit, his damage is increased by 1.66 each time. *Any damage taken past the sixth hit does not further increase damage. *Isaac becomes redder as his damage increases.;If Forget Me Now or a 5-pip Dice Room is used, the damage boost will reset.
ItemRebirth;Blue Cap;342;collectibles_342;blue, mushroom;*Increases heart containers by 1. *+0.7 Tears *-16% Shot Speed;
ItemRebirth;Blue Map;246;collectibles_246;map, blue;Displays secret and super secret rooms on the mini map.;
ItemRebirth;Bob's Brain;273;collectibles_273;green, brain;*This item is an attacking familiar, much like Little Chubby, that is launched in the direction the player is firing. *If it hits an enemy, it explodes, damaging and poisoning monsters. *The explosion deals 63.5 damage and the poison deals either 4 or 6 damage over time for a total of 67.5 or 69.5 damage. *The explosion can hurt Isaac, dealing a full heart of damage. *Once it explodes, it takes a few seconds to re-appear.;*Bob's Brain is affected by bomb modifiers.*Bob's Brain only explodes when hitting an enemy, and does not explode upon hitting a fire, poop, or wall.
ItemRebirth;Bob's Curse;140;collectibles_140;green, bomb;*Gives 5 bombs. *Grants all of Isaac's bombs a poison effect;
ItemRebirth;Bob's Rotten Head;42;collectibles_042;brown, bomb;*Upon use, Isaac holds a poison bomb which can be thrown in the cardinal directions and explodes on impact. *The head deals 50 damage on hit and deals either 6 or 8 poison damage over time.;
ItemRebirth;Bobby - Bomb;125;collectibles_125;bomb, black;*Gives 5 bombs. *Bombs slowly home in on enemies.;
ItemRebirth;The Body;334;collectibles_334;red;Adds three full Heart Containers.;
ItemRebirth;Bogo Bombs;250;collectibles_250;glasses;All bombs become 1+1 bomb pickups;
ItemRebirth;Bomb Bag;131;collectibles_131;bag;*Isaac is followed by a small bag that drops a bomb every 3 rooms. *The bomb dropped can be a normal bomb, 1+1 Free, or a Troll Bomb.;
ItemRebirth;The Book of Belial;34;collectibles_034;book;*Increases damage by 2 upon use for the current room. *Increases damage by a further +50% if the character is also holding the Blood Of The Martyr. *Guarantees the Devil Room or Angel Room to spawn after killing a boss while holding it.  *Increases the chance to open the Devil Room or Angel Room by 12.5% after killing a boss while holding it instead.;
ItemRebirth;Book of Revelations;78;collectibles_078;cross, book;*Grants a Soul Heart upon activation. *Increases chance for a Devil/Angel Room Door to open if held while killing the Boss of the floor by 35%.;
ItemRebirth;Book of Secrets;287;collectibles_287;book, questionmark;Gives the Treasure Map effect upon first use, The Compass upon second use, and Blue Map for the third use, the effects of which last for the duration of the current floor.;*It is possible to receive an effect of an item Isaac already has, therefore effectively doing nothing. *Does not have any effect on floors affected by Curse of the Lost or an Amnesia Pill.
ItemRebirth;Book of Shadows;58;collectibles_058;book;Upon use creates a protective shield nullifying all types of damage for 10 seconds.;
ItemRebirth;The Book of Sin;97;collectibles_097;book, red;Spawns a random Pickup, excluding chests.;
ItemRebirth;Boom!;19;collectibles_019;bomb;Gives 10 bombs. Also gives the character a lit fuse on their head.;
ItemRebirth;Boomerang;338;collectibles_338;moon;*Upon activation Isaac raises the boomerang above his head. Pressing a direction key will throw the boomerang and it will return shortly afterwards. *Enemies hit by Boomerang will take double Isaac's current tear damage and be stunned for approximately 2 seconds.;*The Boomerang causes no damage when returning to Isaac. *The Boomerang starts to recharge only after it has returned to Isaac. *The Boomerang can grab pickups from afar, à la Legend of Zelda. The Boomerang can be used to destroy dead shopkeepers in shops and secret rooms. *The Boomerang can damage Host and Walking Host enemies even while under their shells. *The Boomerang's range scales with Isaac's range.
ItemRebirth;Box;198;collectibles_198;box, package;Spawns 1 of each item: 1 coin, 1 key, 1 bomb, 1 heart, 1 card, 1 pill, 1 trinket.;
ItemRebirth;Box of Spiders;288;collectibles_288;box, spiders;Spawns 1-4 Blue Spiders.;*Blue spiders deal 2.5x the character's damage. *Functionally the spider equivalent to Guppy's Head.
ItemRebirth;Breakfast;25;collectibles_025;box, milk;Increases Health by 1.;
ItemRebirth;Breath of Life;326;collectibles_326;air;*Holding spacebar will gradually deplete the charge bar. *Grants a brief moment of invincibility when the charge bar hits zero. If spacebar is held for an additional second after hitting zero, Isaac will take damage. *The item will recharge on its own but cannot be used again until it is fully charged (even if you didn't fully deplete the charge bar).;
ItemRebirth;Brimstone;118;collectibles_118;red;Tears are replaced by a charged laser beam that pierces through all enemies and obstacles in its path and deals high damage. Can only be fired after a short charge-up period.;
ItemRebirth;Broken Watch;337;collectibles_337;watch, blue;*Upon entering a room there is a chance to:  *Slow down enemies and their attacks. *Speed up enemies and their attacks.;
ItemRebirth;Brother Bobby;8;collectibles_008;blue, puppy;Spawns a familiar that follows Isaac around shooting normal tears that deal 3.5 damage.;
ItemRebirth;Bucket of Lard;129;collectibles_129;bucket, grey;*Adds 2 empty heart containers *-0.2 Speed *Heals half a red heart;
ItemRebirth;Bum Friend;144;collectibles_144;puppy, pink;A portable Beggar who follows Isaac, picks up coins for himself, and occasionally drops Cards, Pickups, and Trinkets.;The Bum Friend does not drop collectibles.
ItemRebirth;Butt Bombs;209;collectibles_209;shit, brown;*Gives the player 5 bombs. *Bombs now cloud up the screen on detonation, briefly confusing and dealing 10 damage to all enemies in the room. ;
ItemRebirth;Butter Bean;294;collectibles_294;bean, white;Releases a gas that knocks back nearby enemies upon activation.;
ItemRebirth;Caffeine Pill;340;collectibles_340;pill, white;*+0.3 Speed. *Decreases Isaac's size, making him less likely to be hit. *Drops a random pill.;It will still drop a pill even if the player has Starter Deck
ItemRebirth;Cain's Other Eye;319;collectibles_319;eye;*Spawns a familiar that floats slowly around the room in a zig-zag pattern similar to The Peeper and shoots normal tears in the same direction as Isaac. *Each tear deals 3.5 damage.;
ItemRebirth;Cancer;301;collectibles_301;69;*Adds three soul hearts. *Grants The Wafer effect for the current room upon taking damage.;
ItemRebirth;The Candle;164;collectibles_164;candle, blue;*On pressing a fire button, a blue flame projectile will fire in the chosen direction that deals significant damage to enemies it comes in contact with, extinguishing itself after a fixed time of approximately two seconds. *The flame deals 23 damage per damage tick. *The average damage done by this item is about 115 with the maximum damage possible being 184.;
ItemRebirth;Capricorn;307;collectibles_307;blue;*+1 Heart Container*+0.5 Damage*-1 Tear delay. As this tears upgrade directly affects tear delay, it allows Isaac's tear rate to go over the maximum rate of fire.*+0.1 Speed*+1.5 Range*Adds 1 key, coin, and bomb each;
ItemRebirth;Cat-O-Nine-Tails;165;collectibles_165;back, tails;*+1 Damage. *+23% Shot Speed.;
ItemRebirth;Celtic Cross;162;collectibles_162;cross, grey;Grants a chance to trigger the Book Of Shadows effect upon taking damage, creating a shield that nullifies all types of damage for 7 seconds.;*The base chance of creating the protective shield is 20% *The activation chance of this item depends on the Luck stat, and goes up to 100% at 27 Luck. *The shield negates health loss from Blood Donation Machines and Devil Beggars. *Does not prevent heart container loss from Health Down Pill or Devil Room deals.
ItemRebirth;Ceremonial Robes;216;collectibles_216;robe, grey;*+1 Damage *Adds 3 Black Hearts;When purchased at a Devil Room by ??? (or another character who has lost all heart containers) this item effectively converts 3 soul hearts (or less, depending on current health) into 3 black hearts, increasing damage at no downside.
ItemRebirth;Champion Belt;208;collectibles_208;belt, red;*+1 Damage. *Increases the chance for champion enemies to appear.;While more champions likely mean a tougher run, players will also profit from a higher amount of Pickups available to them, thanks to many champions dropping items upon death.
ItemRebirth;Charm of the Vampire;62;collectibles_062;bat, black;Heals the character half heart for every 13 monsters killed.;
ItemRebirth;Chemical Peel;154;collectibles_154;bottle, skull, green;+2 flat Damage to tears fired from Isaac's left eye;Cain has a 50% chance of firing a shot with the effects of Chemical Peel whenever he fires
ItemRebirth;Chocolate Milk;69;collectibles_069;milk, chocolate;*Grants charged tears that deal greater damage when fully charged.*Tear damage scales from approximately 30% damage at minimum charge to 400% damage at full charge.;Repeatedly pressing a key to fire allows Isaac to fire as quickly as the key is pressed, up to the equivalent of a maxed Tears stat, albeit with reduced damage.
ItemRebirth;The Common Cold;103;collectibles_103;green, slime;*Adds a chance to shoot poison tears, dealing damage over time when inflicted.*The poison randomly hits either 2 or 3 times, dealing a total of 4 or 6 damage.;*The chance for a tear to be poisoned depends on the Luck stat, and goes up to 100% at 12 Luck.*Unlike Scorpio, The Common Cold will only inflict poison status when a poison tear is triggered and is therefore strictly inferior.
ItemRebirth;The Compass;21;collectibles_021;donut;*Reveals all special rooms on the map, excluding secret rooms. The following rooms will be revealed if they exist: Boss Room, Mini-Boss Room, Treasure Room, Shop, Arcade, Challenge Room, Boss Challenge Room, Curse Room, Sacrifice Room, Library, Vault, Dice Room, Bedroom.*The Compass does not reveal the Secret Room or the Super Secret Room.;The Secret Room will reveal if Greed is present by displaying a mini-boss icon with the shop icon. It might also reveal if Greed is present in the Secret Room, and thus, the location of the Secret Room itself.
ItemRebirth;Contract From Below;241;collectibles_241;paper;*Doubles any Pickups earned for clearing a room.*Decreases the chance for room drops.;Can be obtained for 1 heart at a Devil Room.
ItemRebirth;Converter;296;collectibles_296;blue;Converts two soul hearts or black hearts into a heart container.;
ItemRebirth;Crack The Sky;160;collectibles_160;feather, White;*Upon activation, 5 beams of light will appear in random locations on the ground. Each beam will last for 0.8 seconds and will deal 20 damage to any enemy that touches them.*The beams tend to gravitate towards the enemies, unlike the original game.;
ItemRebirth;Cricket's Body;224;collectibles_224;dead, body, dog;*When tears hit an object or deplete their range, they spawn 4 smaller tears.*Each smaller tear deals half of Isaac's normal damage.*-10 Range.*-1 Tear delay. As this tears upgrade directly affects tear delay, it allows Isaac's tear rate to go over the maximum rate of fire.*Slightly increases the size of the tear, without increasing damage.;
ItemRebirth;Cricket's Head;4;collectibles_004;dead, head, dog;*+0.5 Damage up.*x1.5 Damage multiplier.*Increases tear size and knockback.;The x1.5 damage multiplier does not stack with the x1.5 damage multiplier from Magic Mushroom or from the combination of The Book Of Belial and Blood Of The Martyr. However, it will stack with any multipliers not listed here.
ItemRebirth;Crystal Ball;158;collectibles_158;crystal, white;Upon use, reveals the floor layout and all special rooms except the Super Secret Room and drops one random Tarot Card or a Soul Heart.;The map revealing effect will not work if the Curse of the Lost is active.*The chance is the same for Tarot Cards or Soul Hearts.*Since Runes are considered Tarot Cards, the Crystal Ball can drop them.*It's possible to get more than one Crystal Ball on a single run
ItemRebirth;Cube of Meat;73;collectibles_073;meat, red;*The first cube adds an orbital that blocks shots and deals 7 damage per tick.*The second cube gives the orbital the ability to shoot.*The third cube stops being an orbital and hunts nearby enemies.*The fourth cube increases size and damage of the Meat Boy.*The fifth and subsequent cubes will start the cycle again.;*Cube of Meat replaces one of the orbital flies when the player has 3 orbital flies. The fly returns after a third cube of meat is picked up.*If Monster Manual summons a Cube of Meat while the player has one already, it will raise the stage of Meat Boy for the room.*A Box Of Friends will upgrade the Cube of Meat each time it is used, rather than creating another Cube of Meat.
ItemRebirth;Cupid's Arrow;48;collectibles_048;arrow, grey;Grants piercing tears that travel through enemies (but not obstacles) instead of breaking on impact with them;
ItemRebirth;Cursed Eye;316;collectibles_316;eye, white;*Grants charged tears that can be fired in a tight burst of four.*Getting hit while charging will teleport Isaac into another room.;*Holding a full charge does not teleport Isaac.*This item can be counterproductive, especially while fighting bosses, as getting hit while charging a shot will reset the fight.
ItemRebirth;D4;284;collectibles_284;dice, green;Upon use, re-rolls each of Isaac's items into a random item from the treasure room item pool.;*The D4 does not re-roll Missing No., and passive items will continue to randomize at the start of each floor.*The D4 doesn't remove The Polaroid's or The Negative's effects.*The items gained by the D4 count towards the Collection Page.*Using the D4 will not reroll the Dead Cat's effect.
ItemRebirth;D10;285;collectibles_285;orange;Upon use, turns all of the enemies in a room into different ones;
ItemRebirth;D100;283;collectibles_283;white;Upon use, rerolls all passive items on Isaac like the D4, every pedestal item in the room like the D6 and every pickup like the D20.;*The D100 does not re-roll itself it will still be Isaac's active item after activation.*After the roll, Isaac will have the same number of passive items as he had before.
ItemRebirth;D20;166;collectibles_166;dice, red;Randomizes all Pickups and Chests within a room.;*The empty chest object that is left behind after opening any kind of chest can be re-rolled. Empty chests disappear after leaving the room, so waiting to open chests until the D20 is available can be beneficial.*On The Chest and Dark Room, the re-rolled chests will contain items.
ItemRebirth;The D6;105;collectibles_105;dice, red;Upon use, replaces every item in the current room (not pickups or trinkets) with other random items corresponding to the current room's item pool.;Since it rerolls every item in the room, it can be convenient to use it in rooms where multiple items are in the same room.
ItemRebirth;Dad's Key;175;collectibles_175;key;Opens all closed doors in the current room.;
ItemRebirth;Daddy Longlegs;170;collectibles_170;white;*Daddy Long Legs' shadow follows Isaac and stomps on enemies for 40 damage.*The delay between stomps is approximately 4 seconds.;*The foot stays down for about 1 second, and enemies who wander into it will still take damage. The damage seems to tick twice during the 1 second.*This item deals enough damage to kill most early enemies in one hit, and is especially powerful against enemies with multiple segments like Larry Jr.
ItemRebirth;Dark Bum;278;collectibles_278;bum, black;Spawns a familiar that follows Isaac around and collects red hearts. For every one-and-a-half red hearts collected, Dark Bum will generate one of the following:*A single soul heart. This is the most common effect.*A hostile Spider.*A friendly Blue Spider.*A single black heart. This is the least common effect.;If Dark Bum enters a Super Secret Room that mimics The Womb, The Cathedral, or The Dark Room, he will drop red hearts, eternal hearts, or black hearts respectively instead of soul hearts.
ItemRebirth;Dark Matter;259;collectibles_259;black;*+1 Damage.*Adds a chance to shoot fear tears, causing enemies to run away from Isaac;Fear tear effect depends on the Luck stat, and goes up to 100% at 20 Luck. (This makes dark matter significantly better at inflicting fear than Abaddon or Mom's Perfume)
ItemRebirth;Dead Bird;117;collectibles_117;dead, bird, black;Taking damage summons a familiar that chases enemies in the current room.;Eve starts the game with Dead Bird.
ItemRebirth;Dead Cat;81;collectibles_081;cat;Sets Isaac's health to 1.*Does not remove Soul Hearts or Black Hearts unless playing as ???.*Grants 9 extra lives.*Upon death, Isaac respawns with 1 heart container.*The head of Guppy begins following Isaac like a familiar upon pickup, but doesn't actually do anything.*When Isaac has lost all of the lives provided by this item, the dead cat familiar will disappear.*This item belongs to the Guppy set. Collecting three items from the set will transform Isaac into Guppy.;
ItemRebirth;Dead Dove;185;collectibles_185;dead, dove;Grants spectral tears and flight.;It is the Angel Room equivalent of Spirit Of The Night.
ItemRebirth;Dead Onion;336;collectibles_336;brown, onion;Grants piercing and spectral tears.*Increases tear size (without increasing damage)*-0.25 Range*-0.4 Shot Speed*-0.5 Shot Height;"Although it says ""Toxic aura tears"", the tears do not do toxic/poison damage."
ItemRebirth;Dead Sea Scrolls;124;collectibles_124;scroll, brown;If activated, a random activated item effect will activate.;
ItemRebirth;Death's Touch;237;collectibles_237;sense, black;+1.5 Damage*-0.3 Tears*Grants piercing tears.*Increases tear size.*Cosmetic effect: Tears are replaced by Death's scythes.;While tear size is directly determined by damage, the scythes of Death's Touch are always bigger than their tear counterpart for any given damage value.
ItemRebirth;Deck of Cards;85;collectibles_085;cards, deck;Upon use, spawns a random tarot card;If the player has Little Baggy, a pill will be spawned instead of a tarot card.
ItemRebirth;Demon Baby;113;collectibles_113;demon, black;Spawns a familiar that follows Isaac and automatically fires at enemies in its range, dealing 3 damage per shot.;As Guppy: Spawns flies as if normal tears are hitting enemies.*Whenever Isaac uses Box Of Friends without having any familiars, a Demon Baby will be spawned for the current room
ItemRebirth;Dessert;24;collectibles_024;brown;Grants one red heart container.;
ItemRebirth;Dinner;23;collectibles_023;dinner;Grants one red heart container.;
ItemRebirth;Distant Admiration;57;collectibles_057;fly, black;A red attack fly circles farther out than regular orbitals, but closer than Forever Alone.*The fly deals 5 damage per tick.*This item belongs to the Lord of the Flies set. Collecting three items from the set will transform Isaac into Lord of the Flies.;
ItemRebirth;Doctor's Remote;47;collectibles_047;black, remote;Upon activation, a large red marker will appear on the ground. The player can control where the target is using the arrow keys.*After approximately 2 seconds, a large missile will land on the red marker. The missile acts like a large bomb explosion dealing 20 times the character's damage (the same as Epic Fetus).;
ItemRebirth;A Dollar;18;collectibles_018;dollar, green, bill;Upon picking up A Dollar the player's penny count will be set to 99, the maximum possible amount of money.;Picking this item up will automatically unlock Cain.*Multiple Dollars can be dropped in the same run by different slot machines.
ItemRebirth;Dr. Fetus;52;collectibles_052;glass, fetus;Tears are replaced with bombs that explode approximately one second after being fired.*Each bomb deals 3 times the character's normal tear damage.;*Dr. Fetus overrides multiple tear effect items but benefit from some (but not all) bomb-enhancing effects like Mr. Mega.*In Afterbirth, many more synergies have been added. This page has to be updated for that.
ItemRebirth;Dry Baby;265;collectibles_265;grey baby;Spawns a familiar that follows Isaac around and blocks enemy projectiles. Upon blocking a shot it has a chance of triggering The Necronomicon effect, dealing 40 damage to all enemies in the room.;*The Necronomicon effect can occur multiple times in the same room.*It can be used to block multiple shots if positioned correctly.*It sometimes layers itself above Isaac's Heart, protecting it from nearly all projectile damage.
ItemRebirth;E. Coli;236;collectibles_236;sperm red;Enemies that touch Isaac are turned into Poop.;If you touch the middle section of a Grub with E Coli, it will then split and become two heads (rather than destroying and spawning Maggots)
ItemRebirth;Epic Fetus;168;collectibles_168;glas fetus;Isaac's tears are replaced with guided missiles, like those used by the Doctor's Remote.*Missiles deal 20 times Isaac's damage.;Missiles benefit from most bomb-enhancing effects.*Epic Fetus overrides most items in the game and has the highest priority of all of them, over Brimstone and Mom's Knife.
ItemRebirth;Eve's Mascara;310;collectibles_310;mascara, black;*2x Damage multiplier*-0.5 Shot Speed. (Minimum Shot Speed is 0.6)*0.5x Tears multiplier. The multiplier doesn't set the value once, but instead is permanently applied (i.e. Isaac's Tear value will always be halved).;Soy Milk and Monstro's Lung directly change the Tears stat, even after the calculation of Eve's Mascara. This means these two are the only items in the game that can change the fixed reduction of tears Eve's Mascara creates.
ItemRebirth;Experimental Treatment;240;collectibles_240;needle, yellow;Randomly increases and decreases some of the character's stats. There will always be at least one stat increase and one decrease and the same stats can be increased/decreased multiple times.;Despite the item's description, the item does not actually increase all stats or shuffle them.
ItemRebirth;Fanny pack;204;collectibles_204;brown, belt, bag;Grants a chance to drop a random pickup whenever Isaac takes damage.;
ItemRebirth;Fate;179;collectibles_179;blue, lightblue;Grants flight and one Eternal Heart.;
ItemRebirth;Fire Mind;257;collectibles_257;tear, fire, black;Tears ignite on hit.*Ignited enemies take either 4 or 6 damage over time.*Tears have a chance to explode on hit, leaving behind fire.*Explosions deal 22 damage plus double Isaac's current tear damage;*The explosion effect chance depends on the Luck stat, and goes up to 100% at 13 Luck.*The explosion will hurt Isaac, but the flame will only harm enemies, with the exception of Hoppers who will transform into Flaming Hoppers.
ItemRebirth;FLUSH!;291;collectibles_291;grey, flush;*Turns all non-boss enemies into poop.*Floods the whole room with water (Same effect as seen in the Flooded Caves).*Flushes all poop related enemies away including Dingle, Dangle, and Brownie.;The enemies turned into poop are somewhat still treated like normal enemies: the sound of killing an enemy plays when the poop is destroyed, and items will also behave like the poop was a normal enemy. (Example: BBF will explode if it comes into contact with an enemy turned into poop.)
ItemRebirth;Forever Alone;128;collectibles_128;fly, blue;*Spawns a blue attack fly orbital that orbits a long distance from Isaac and deals contact damage to enemies.*The fly deals 2 damage per tick.*This item belongs to the Lord of the Flies set. Collecting three items from the set will transform Isaac into Lord of the Flies.;
